title,text,label
ABS-CBN News,'Grossly unfair': Duterte blasts Senate for seeking raps vs Cusi over Malampaya deal https://t.co/svBBUjarR3,REAL
ABS-CBN News,"Will Leody De Guzman convince businessmen to vote for him?
#Halalan2022 https://t.co/bPSwM8KCSb",REAL
ABS-CBN News,"Olympics: With rings breaking from block of ice, Games ceremony begins https://t.co/4e4U25ztnZ",REAL
ABS-CBN News,Michael Ver Comaling frustrated after task loss in ‘PBB’ https://t.co/efexfUsPx6,REAL
ABS-CBN News,"Senate seeks raps vs Cusi, other DOE officials over Malampaya sale https://t.co/zRIZUaXCQs",REAL
ABS-CBN News,"30 million doses of the reformulated Pfizer vaccine have already been purchased by the Philippine gov’t for the pediatric jab drive, Galvez said.

The first 15 million of those doses are expected to arrive in 2 batches in the 1st &amp; 2nd quarter of 2022. https://t.co/ZuRkc4mQt8",REAL
ABS-CBN News,UN demands Taliban provide info on 2 more missing women https://t.co/mNvX9Dvcfv,REAL
ABS-CBN News,Lovi Poe shares first glimpse of ‘Flower of Evil’ adaptation with Piolo Pascual https://t.co/bNUnKvm2kj,REAL
ABS-CBN News,Wild Rift: GrindSky Eris to represent PH in SEAG tournament https://t.co/JhQZpQAFkr,REAL
ABS-CBN News,'Bulag sa pag-ibig': Elisse Joson admits giving chance to cheating partner https://t.co/9f8ShgsJhw,REAL
24 Oras,"WE ARE NOW 1 MILLION STRONG ON TIKTOK! 💪🏼

Maraming salamat sa inyong suporta sa 24 Oras TikTok account, mga Kapuso! 

Follow us: https://t.co/RbKeAEBcXi https://t.co/XRrH3Vw8X8",REAL
24 Oras,"RT @GMA_PA: EPISODE 11: MARIANG MAKILING

Sa Laguna, may isang napakagandang babaeng pinaniniwalaang hindi mortal. Siya si Mariang Makiling…",REAL
24 Oras,"Chinese New Year na bukas! Naniniwala ba kayo sa suwerte? Iparinig ang #BosesMo at maaari itong ipalabas sa #24Oras!

STITCH THIS VIDEO:  https://t.co/uDhcE4C1Ea https://t.co/cADG5oBdEl",REAL
24 Oras,Bakit nga kaya? 🤔 #KuyaKimAnoNa https://t.co/mYnzZGUVyx,REAL
24 Oras,"VIDEO: Online word game na Wordle, patok sa mga netizen https://t.co/eeaODysuIN https://t.co/NsIekz1Oxu",REAL
24 Oras,"VIDEO: Solo single ni Pablo ng SB19 na ""La Luna,"" trending pa rin 2 araw matapos itong i-release https://t.co/Xmgs7Wt3vp https://t.co/EmXpXI0gf3",REAL
24 Oras,"VIDEO: 24 Oras Weekend Express: January 29, 2022 [HD] https://t.co/stMxQ7WVlo https://t.co/8AKuDOfxTc",REAL
24 Oras,VIDEO: Tuloy ang aktibidad ng mga tumatakbo sa pagka-senador https://t.co/dopGlgdfX7 https://t.co/yJYzDHxtDV,REAL
